id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1479130031507087361,1479130025341427717,2022-01-06 13:37:35 Hora Padrão de Buenos Aires,2022-01-06,13:37:35,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Nestes anos todos, a Barragem de Oiticica já recebeu mais de R$ 583 milhões em investimentos, 50% disso nos últimos 3 anos. Isso demonstra como o gov @jairbolsonaro tem priorizado a obra. Essa barra.gem será a porta de entrada das águas da Transposição do São Francisco no meu RN.  https://t.co/hcRrYntkfs",pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],['https://pbs.twimg.com/media/FIbqurOX0AYiuZn.jpg'],12,216,835,[],[],https://twitter.com/rogeriosmarinho/status/1479130031507087361,False,,1,https://pbs.twimg.com/media/FIbqurOX0AYiuZn.jpg,,,,,,,[],,,,
1479130025341427717,1479130025341427717,2022-01-06 13:37:33 Hora Padrão de Buenos Aires,2022-01-06,13:37:33,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Vejam a fartura que a água traz. Água é vida e desenvolvimento. Essa é a Barragem de Oiticica, em Jucurutu-RN, que se arrastava por 70 anos, desde 1952. O PR @jairbolsonaro decidiu mudar isso e vamos entregá-la em 2022. O @govbr já investiu cerca de R$ 300 milhões na obra Segue👇  https://t.co/rHR5G6j4P9",pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}, {'screen_name': 'govbr', 'name': 'governo do brasil', 'id': '861707648584085504'}]",[],[],91,1053,3145,[],[],https://twitter.com/rogeriosmarinho/status/1479130025341427717,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1479121294704582673/pu/img/s0Uu1fRcARxC0S_O.jpg,,,,,,,[],,,,
1478867328385400836,1478867326518894600,2022-01-05 20:13:41 Hora Padrão de Buenos Aires,2022-01-05,20:13:41,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"O convênio firmado entre o MDR e o Governo de Pernambuco vai possibilitar a retomada da obra, após sete anos de paralisação. A finalidade das estruturas é o controle das cheias na região, beneficiando os municípios  de Belém de Maria, Catende, Palmares, Água Preta e Barreiros.",pt,[],[],[],4,77,376,[],[],https://twitter.com/rogeriosmarinho/status/1478867328385400836,False,,0,,,,,,,,[],,,,
1478867326518894600,1478867326518894600,2022-01-05 20:13:41 Hora Padrão de Buenos Aires,2022-01-05,20:13:41,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Mais uma obra de grande importância para a qualidade de vida do Nordestino será retomada pelo governo @jairbolsonaro. Mais de 200 mil pernambucanos serão beneficiados com a construção da barragem Panelas II, que faz parte de um complexo, que conta com 4 barragens.  https://t.co/IkGiM92aMw",pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],['https://pbs.twimg.com/media/FIX9_jTXEAM7Lgp.jpg'],22,432,1743,[],[],https://twitter.com/rogeriosmarinho/status/1478867326518894600,False,,1,https://pbs.twimg.com/media/FIX9_jTXEAM7Lgp.jpg,,,,,,,[],,,,
1478771317184909317,1478771317184909317,2022-01-05 13:52:10 Hora Padrão de Buenos Aires,2022-01-05,13:52:10,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Essa obra foi contratada em 2013, paralisada em 2018 e retomada em 2020, após investimento de R$ 2,2 milhões do governo @jairbolsonaro. Com empenho do nosso governo de não deixar obras paralisadas, beneficiamos mais 600 pessoas com a casa própria no Residencial Santa Luzia (SC).  https://t.co/nXnHY2M3ts",pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],[],34,606,2196,[],[],https://twitter.com/rogeriosmarinho/status/1478771317184909317,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1478771002385616897/pu/img/Q9mWFUTFdidxSppA.jpg,,,,,,,[],,,,
1478498089497464838,1478498089497464838,2022-01-04 19:46:28 Hora Padrão de Buenos Aires,2022-01-04,19:46:28,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Em 2021, participei de centenas de entregas de moradias. É um momento especial, pq dá significado a missão que o PR @jairbolsonaro nos deu, que é de melhorar a vida do brasileiro. Sabemos que entregamos muito mais do q uma casa, estamos entregando dignidade, cidadania e respeito  https://t.co/zQoWjYNNY9",pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],['https://pbs.twimg.com/media/FISuLGCXoAQSw8a.jpg'],27,339,1516,[],[],https://twitter.com/rogeriosmarinho/status/1478498089497464838,False,,1,https://pbs.twimg.com/media/FISuLGCXoAQSw8a.jpg,,,,,,,[],,,,
1478401306939342849,1478401306939342849,2022-01-04 13:21:53 Hora Padrão de Buenos Aires,2022-01-04,13:21:53,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"nascente do São Francisco transbordando,estive nesse local durante jornada das águas na serra da canastra em Minas,prenúncio de renovação do rio da integração,ao mesmo tempo cuidado com integridade das populações ribeirinhas.BRASIL nos surpreende sempre,São Francisco abraça o NE  https://t.co/1rL5tZWNk3",pt,[],[],[],119,1607,5724,[],[],https://twitter.com/rogeriosmarinho/status/1478401306939342849,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1478401260843945986/pu/img/NM0wDfLSMbdJslud.jpg,,,,,,,[],,,,
1478383213554937863,1478383196861616138,2022-01-04 12:09:59 Hora Padrão de Buenos Aires,2022-01-04,12:09:59,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Os repasses serão realizados por meio de convênios. As cidades vão iniciar os projetos, que serão encaminhados para análise da equipe técnica do MDR. Depois disso, os processos licitatórios serão realizados e as municípios começarão a receber os recursos para as execuções.  https://t.co/WXTLepuEol",pt,[],[],['https://pbs.twimg.com/media/FIRFseeXMAgS-EW.jpg'],2,48,237,[],[],https://twitter.com/rogeriosmarinho/status/1478383213554937863,False,,1,https://pbs.twimg.com/media/FIRFseeXMAgS-EW.jpg,,,,,,,[],,,,
1478383205426380800,1478383196861616138,2022-01-04 12:09:57 Hora Padrão de Buenos Aires,2022-01-04,12:09:57,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Mais oito municípios serão beneficiados no Rio Grande do Norte: Cerro Corá, Brejinho, São Tomé, Venha-ver, Macaíba, Caraúbas, Água Nova e Marcelino Vieira.  https://t.co/aLTpiz8cSi",pt,[],[],['https://pbs.twimg.com/media/FIRFr9qXIAYe8Nc.jpg'],4,55,278,[],[],https://twitter.com/rogeriosmarinho/status/1478383205426380800,False,,1,https://pbs.twimg.com/media/FIRFr9qXIAYe8Nc.jpg,,,,,,,[],,,,
1478383196861616138,1478383196861616138,2022-01-04 12:09:55 Hora Padrão de Buenos Aires,2022-01-04,12:09:55,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"Garantir segurança hídrica para a população brasileira, sobretudo a da Região Nordeste. Essa é uma das prioridades do governo @jairbolsonaro e estamos empenhados em cumprir essa tarefa para melhorar a vida do povo.  https://t.co/FB9gxNUkmZ",pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],['https://pbs.twimg.com/media/FIRFrb3WUAwbpkd.jpg'],12,300,1368,[],[],https://twitter.com/rogeriosmarinho/status/1478383196861616138,False,,1,https://pbs.twimg.com/media/FIRFrb3WUAwbpkd.jpg,,,,,,,[],,,,
1478071320843890696,1478069140892045318,2022-01-03 15:30:38 Hora Padrão de Buenos Aires,2022-01-03,15:30:38,-0300,52189996,rogeriosmarinho,Rogério Marinho,,"A bancada de Minas no Congresso tem sido parceira e diligente em prol da população afetada pelas chuvas. Nos acompanham os deputados Diego Andrade, @oficialigortimo, @ZeSilva_ e @newton1510 os Senadores @carlosaviana e @asilveiramg.  https://t.co/HsfBKcfoY0",pt,"[{'screen_name': 'oficialigortimo', 'name': 'igor timo', 'id': '981604712238780432'}, {'screen_name': 'zesilva_', 'name': 'deputado zé silva', 'id': '57719474'}, {'screen_name': 'newton1510', 'name': 'newton cardoso jr.', 'id': '2613918878'}, {'screen_name': 'carlosaviana', 'name': 'carlos viana', 'id': '74309518'}, {'screen_name': 'asilveiramg', 'name': 'alexandre silveira', 'id': '954474096963801089'}]",[],[],1,60,265,[],[],https://twitter.com/rogeriosmarinho/status/1478071320843890696,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1478069220676096000/pu/img/rKv4ZFoahRoMVpyx.jpg,,,,,,,[],,,,
